100yrs Pol His&Art&Soc'ty_AHI	10_22_1
14th Amendment_LAW	0_55_1
16c & 17c Spanish Literat_SPA	42_128_5
17c Literature Studies_FR	12_44_2
17c North European Art_AHI	46_180_4
17th Century Literature_ENG	138_380_10
18 Cent European Art/Idea_AHI	245_445_11
18c English Literature_COL	1_24_1
18c English Literature_ENG	73_406_16
18c Literature & Society_FR	14_28_1
18c Literature Studies_FR	21_68_3
19c & 20c Lit Masterpc_RUS	4_42_2
19c American Literature_ENG	241_846_31
19c American Novel_AMS	5_90_2
19c American Research_HIS	85_271_9
19c American Studies_AMS	7_35_1
19c Art_AHI	127_225_5
19c British Literature_ENG	30_114_4
19c Europe_HIS	290_559_9
19c Major Writers: Novel_FR	8_28_1
19th Cent Novel:Flaubert_FR	7_20_1
19th Century Drama_GER	6_44_2
19th-C British Novel_ENG	151_286_8
19th-C British Poetry_ENG	712_809_19
19th-C US Fiction_ENG	675_964_21
1st Amend_LAW	9_20_1
1st Sem Rdng -Bgnrs/Grads_GER	31_139_6
1st Yr 2nd Sem Amrcn Sign Lang_ASL	503_735_30
1st Yr-1st Sem Am Sig Lan_ASL	1713_2725_100
1st Yr-1st Sem Am Sig Lan_CDS	66_350_14
1st Yr-1st Sem Arabic_ARI	723_1000_42
1st Yr-1st Sem Chinese_CHI	2786_3332_144
1st Yr-1st Sem Danish_DAN	67_86_15
1st Yr-1st Sem Greek_GRE	268_418_21
1st Yr-1st Sem Hai-Creole_HAI	14_12_1
1st Yr-1st Sem Hindi_HIN	432_586_26
1st Yr-1st Sem Indonesian_IND	16_16_3
1st Yr-1st Sem Irish_IRI	285_481_17
1st Yr-1st Sem Japanese_JPN	3096_3736_159
1st Yr-1st Sem Korean_KOR	1432_1587_72
1st Yr-1st Sem Swahili_SWA	44_154_8
1st Yr-1st Sem Thai_THI	63_43_14
1st Yr-1st Sem Ukrainian_UKR	162_180_20
1st Yr-1st Sem Vietnamese_VIE	40_257_12
1st Yr-1st Sem Yoruba_YOR	14_30_2
1st Yr-2nd Sem Am Sig Lan_ASL	1447_2398_90
1st Yr-2nd Sem Am Sig Lan_CDS	13_173_5
1st Yr-2nd Sem Arabic_ARI	600_869_37
1st Yr-2nd Sem Chinese_CHI	1570_2268_96
1st Yr-2nd Sem Danish_DAN	51_124_13
1st Yr-2nd Sem Greek_GRE	248_485_27
1st Yr-2nd Sem Hindi_HIN	363_402_19
1st Yr-2nd Sem Indonesian_IND	6_16_3
1st Yr-2nd Sem Irish_IRI	184_340_15
1st Yr-2nd Sem Japanese_JPN	1728_2340_97
1st Yr-2nd Sem Korean_KOR	969_1563_58
1st Yr-2nd Sem Swahili_SWA	27_106_5
1st Yr-2nd Sem Thai_THI	42_100_10
1st Yr-2nd Sem Ukrainian_UKR	104_300_18
1st Yr-2nd Sem Vietnamese_VIE	72_171_14
1st Yr-2nd Sem Yoruba_YOR	5_12_1
1st Yr/1st Sem Greek_GRE	0_22_1
1st-Year/1st Sem ASL_ASL	759_1175_42
20 Century American Novel_ENG	213_706_26
20 Century Britain_HIS	52_102_4
20 Century Novel_ENG	14_48_2
20 Century Philosophy_PHI	390_957_18
20c Am Research_AMS	1_30_1
20c American Literature_ENG	100_388_14
20c American Poetry_ENG	95_496_19
20c American Research_HIS	175_401_17
20c British Literature_ENG	17_90_3
20c European Readings_HIS	26_84_3
20c Fiction_GER	30_44_2
20c German Civilzn & Cult_GER	9_23_1
20c German Readings_HIS	76_275_9
20c German Research_HIS	7_30_1
20c Intrnationl Relation_HIS	58_188_7
20c Italian Literature_HMN	1_24_1
20c Italian Literature_ITA	129_679_21
20c Italian Literature_WS	1_24_1
20c Italian Poets_ENG	5_130_4
20c Italian Poets_ITA	22_134_4
20c Latina/O Literature_LLS	7_35_1
20c Novel_FR	14_54_3
20c Political Philosophy_PSC	140_376_7
20c Pragmatism_PHI	0_45_1
20c Span Amer Novel_SPA	32_56_2
20c Spanish Literature_SPA	46_157_5
20c Theatre: Avant-Garde_ENG	4_28_1
20c Theatre:Avant-Garde_FR	19_56_2
20c:Europe & the World_HIS	400_1395_17
20th C Mex Lit_SPA	26_40_2
20th C Novel_FR	26_129_5
20th Cen US Political History_HIS	30_40_1
20th Cent American Legal Hist_LAW	66_179_9
20th Cent Lit & Culture_COL	52_177_4
20th Cent Spanish Theater_SPA	8_22_1
20th Cent US Political His_HIS	0_30_1
20th Cent. Afro-Hisp. Lit_SPA	21_39_2
20th Centry Architctr & Urban_ARC	7_64_2
20th Century Europe_HIS	154_249_6
20th Century Novel_SPA	48_188_7
20th Century Poetry_SPA	63_132_6
20th Century Theater_SPA	11_22_1
20th-C Italian Theater_ITA	7_75_2
20th-C Italian Theatre_HMN	5_30_1
20th-C Italian Theatre_ITA	33_75_2
20th-C Lit in the US_ENG	1140_1463_37
2d Animation Graphics_DMS	26_63_3
2nd Course Linear Algebra_MTH	888_2679_53
2nd Sem Rdng-Bgnrs/Grads_GER	10_87_4
2nd Year-2nd Sem Irish_IRI	25_107_5
2nd Year/1st Sem ASL_ASL	68_124_4
2nd Year/2nd Sem ASL_ASL	28_54_2
2nd Yr Graduate Research_ART	425_693_279
2nd Yr-1st Sem Am Sig Lan_ASL	311_579_22
2nd Yr-1st Sem Am Sig Lan_CDS	17_89_4
2nd Yr-1st Sem Arabic_ARI	309_604_25
2nd Yr-1st Sem Chinese_CHI	842_1248_55
2nd Yr-1st Sem Danish_DAN	24_44_13
2nd Yr-1st Sem Greek_GRE	52_173_12
2nd Yr-1st Sem Hindi_HIN	183_332_16
2nd Yr-1st Sem Irish_IRI	63_277_13
2nd Yr-1st Sem Japanese_JPN	901_1100_49
2nd Yr-1st Sem Korean_KOR	385_536_23
2nd Yr-1st Sem Swahili_SWA	6_23_1
2nd Yr-1st Sem Thai_THI	29_35_9
2nd Yr-1st Sem Ukrainian_UKR	27_88_8
2nd Yr-1st Sem Vietnamese_VIE	43_183_11
2nd Yr-1st Sem Yoruba_YOR	1_12_1
2nd Yr-2nd Sem Arabic_ARI	195_515_17
2nd Yr-2nd Sem Asl_ASL	192_490_19
2nd Yr-2nd Sem Asl_CDS	1_31_1
2nd Yr-2nd Sem Chinese_CHI	488_819_35
2nd Yr-2nd Sem Danish_DAN	16_86_8
2nd Yr-2nd Sem Greek_GRE	61_198_14
2nd Yr-2nd Sem Hindi_HIN	103_304_14
2nd Yr-2nd Sem Irish_IRI	14_84_4
2nd Yr-2nd Sem Japanese_JPN	531_881_36
2nd Yr-2nd Sem Korean_KOR	231_439_18
2nd Yr-2nd Sem Thai_THI	12_48_4
2nd Yr-2nd Sem Ukrainian_UKR	22_66_5
2nd Yr-2nd Sem Vietnamese_VIE	58_184_12
3 Kingdoms: A Novel in Tr_CHI	6_36_2
3 Kingdoms: A Novel in Tr_ENG	45_228_9
3d Precision Prod Concpts_ART	128_38_14
3d Vis & Urban Simulation_PD	21_204_7
3rd Yr-1st Sem Chinese_CHI	282_402_16
3rd Yr-1st Sem Danish_DAN	3_4_2
3rd Yr-1st Sem Greek_GRE	17_32_6
3rd Yr-1st Sem Hebrew_HEB	7_2_2
3rd Yr-1st Sem Korean_KOR	203_507_21
3rd Yr-1st Sem Thai_THI	4_27_4
3rd Yr-1st Sem Vietnamese_VIE	40_119_6
3rd Yr-2nd Sem Danish_DAN	2_14_2
3rd Yr-2nd Sem Greek_GRE	28_64_7
3rd Yr-2nd Sem Hebrew_HEB	7_27_4
3rd Yr-2nd Sem Thai_THI	1_12_1
3rd Yr-2nd Sem Vietnamese_VIE	26_90_5
4 Horsemen of the Apocal_APY	132_291_8
4th Sem Classical Tibetan_AS	6_71_3
4th Year-1st Semester Jpn_JPN	136_387_15
4th Year-2nd Semester Jpn_JPN	106_302_13
A Chinese Dynasty:Qing_HIS	51_135_5
A History of Madness_HIS	19_30_1
AIDS & Communicable Diseas_SW	91_356_9
ANA/Physio Mastic Syst_ODS	6_39_13
APN Role: Evol of the Role_NUR	743_2187_27
APN Role: Financial Mngmt_NUR	711_2021_23
APN Role: Innova in APN_NUR	486_824_17
APY & Education_APY	47_64_2
APY of Archit_APY	42_72_2
ARCH SPECIAL TOPICS_ARC	24_137_3
Abnormal Child Psychology_PSY	890_1755_26
Abnormal Psychology_PSY	16701_22446_100
Abstract Expressionism_AHI	8_16_1
Acad & Research Libraries_LIS	107_164_5
Acad Writing & Presenting_RSC	57_324_11
Academic Success Strategies_CPM	915_1795_43
Academic Writing_ELP	26_86_5
Academies Sophmore Success_UE	14_24_1
Accounting Information Systems_MGA	5333_8603_138
Accounting Practicum_MGA	8_5_5
Accounting Topics_MGA	33_174_9
Acct for Mgt Dec Making_MGA	417_672_8
Acctg & Fin Mgt in Health_MGA	9_20_1
Acoustics and Instru_CDS	166_200_16
Acquisition Transactions_MGF	100_948_16
Acquisitions Transactions_LAW	829_1915_31
Act in Comedy of Manners_TH	8_18_1
Acting in Shakespeare_TH	208_1228_21
Acting: Scene Study_TH	10_25_1
Action Research_OAP	54_72_3
Action Rsch Imprv Tchg & Lrng_LAI	170_311_11
Acute Care Lab_NUR	36_282_10
Acute Illness Management_NUR	142_56_7
Ad Law & Immigration_LAW	16_20_1
Ad Law Ex Cr_LAW	3_89_1
Adaptive Signal Processg_ECE	11_21_2
Adaptive Signal Processg_EE	111_320_6
Adaptive Team Leadership_MLS	8_76_2
Addiction and the Family_SW	419_986_27
Addictions Treatment_SSC	595_928_17
Adm Pers in Cur & Inst_OAP	120_236_7
Adm Theory & Pract Ph Prac_EEH	30_1_1
Adm Theory & Pract Ph Prac_SPM	99_644_14
Admin Fair Hearing Prac_LAW	56_86_6
Administ/Managemt_SW	486_1047_31
Administrative Law_LAW	1740_3483_56
Administrative Process_PSC	19_38_2
Adol & Adult Beh Med_PSY	3_1_1
Adolescent Development_PSY	527_919_16
Adolesnt Wrtng Across Cur_LAI	1096_4436_90
Adoption Law Dmestc & Intl_LAW	61_198_6
Adoption Law_LAW	109_229_9
Adult Clin Nurse Spec 1_NUR	39_184_10
Adult Clin Nurse Spec 2_NUR	50_108_11
Adult Development & Aging_PSY	253_477_8
Adv & Promotion_MGM	404_1246_25
Adv Adhesive Dentistry_RDN	287_1234_11
Adv Amb Pharmacotherapeut_PHM	569_1355_8
Adv Amb Pharmacotherapeuti_PHM	333_894_9
Adv Analytical Chem Topic_CHE	101_749_14
Adv Anatomy Nervous Syst_ANA	2_4_2
Adv Applic Progrmng Cobol_MFC	13_42_2
Adv Archaeological Rsch_APY	81_340_11
Adv Areal Archlgy Mesoam_APY	83_356_13
Adv Ath Training_ES	90_249_5
Adv Bayesian Inference_STA	41_322_7
Adv Bch of Macromolecules_BCH	2_570_2
Adv Beginner Swimming_ATH	68_360_4
Adv Biological Chemistry_BIO	757_4106_48
Adv Bkruptcy & Tax_LAW	16_64_2
Adv Cancer Epi & Prev_EEH	4_15_1
Adv Cancer Epi & Prev_SPM	19_22_4
Adv Casting Fndry Techs 1_ART	0_12_4
Adv Casting Fndry Techs 2_ART	0_12_4
Adv Categorical Analysis_STA	75_426_11
Adv Cell & Dev Biology 1_BIO	753_4312_48
Adv Cell & Dev Biology 2_BIO	108_1138_27
Adv Chem Thermodynamics_CE	904_2138_45
Adv Cinematography_DMS	227_804_38
Adv Civil Liberties_PSC	139_510_10
Adv Clin Treatmnt Plan&Seq_RDN	13_6_3
Adv Coll Surf Phenom_CE	40_63_7
Adv Com Research Methods_COM	0_61_2
Adv Comp Linguistics_CSE	31_248_7
Adv Composit & Conversat_SPA	870_945_42
Adv Computer Graphics_CSE	0_97_1
Adv Con Law_PSC	12_44_1
Adv Conc Acute Care Nursg_NUR	350_525_8
Adv Conv and Comp_GER	99_248_9
Adv Convers & Composit_RUS	7_1_1
Adv Corp Finance_MGF	6391_11188_146
Adv Corp Tax_LAW	18_20_1
Adv Corporate Finance_MGF	12_20_1
Adv Creative Writg Poetry_ENG	219_521_22
Adv Creatv Writg Fiction_ENG	256_646_24
Adv Criminal Law_LAW	157_326_10
Adv Design in Ceramics_CFC	43_24_12
Adv Design in Ceramics_UBE	14_138_12
Adv Developmental Psych_PSY	129_282_9
Adv Digital Arts Prod_DMS	164_1012_42
Adv Digital Arts Productn_DMS	361_547_30
Adv Dir Plan Disab_LAW	30_33_1
Adv Discourse Analysis_LIN	18_24_2
Adv Earth Systems Science_GEO	31_74_4
Adv Econometric Methods_ECO	109_428_19
Adv Editing_DMS	142_504_18
Adv Endo Lecture 2_RDN	13_6_3
Adv Envir Hydro 2_GLY	76_180_8
Adv Environmental Health_EEH	1_78_1
Adv Environmental Health_SPM	7_157_3
Adv Esthetic Dent Clinic_RDN	8_32_16
Adv Esthetic Dent Sem/Lec_RDN	2_32_16
Adv Esthetic Lab Tech_RDN	4_32_16
Adv Ethnlgy Central Andes_APY	1_25_1
Adv Ethnology SE Asia_APY	18_136_6
Adv Ethnology of Europe_APY	48_256_8
Adv Ethnology:Africa_APY	8_42_4
Adv Eval & Treat Prin 111_OTE	90_288_12
Adv Eval/Rx Appr:Dev Appr_OT	4_14_1
Adv Family Clinical_NUR	102_174_9
Adv Figuratv Sculpture 1_ART	5_39_3
Adv Figuratv Sculpture 2_ART	1_39_3
Adv Finite Element Analysi_CIE	185_544_16
Adv Foundation Des & Con_CIE	162_1093_19
Adv Foundation Design_CIE	117_1108_22
Adv French Conversation_FR	0_28_1
Adv Fungal Pathogenesis_MIC	4_3_3
Adv Geofluids & Geomech_GLY	43_175_5
Adv Grammar & Composition_FR	343_475_23
Adv Health Assess Acute_NGC	22_48_4
Adv Health Assess Acute_NUR	113_248_12
Adv Health Assess Adult_NUR	207_246_10
Adv Health Assess CRNA_NUR	58_145_5
Adv Health Assess Child_NGC	60_36_3
Adv Health Assess Child_NUR	101_121_5
Adv Health Assess Found_NUR	219_581_10
Adv Health Assessment_NGC	75_120_3
Adv Health Assessment_NUR	551_740_21
Adv High Volt/Pow Electrc_ECE	2_20_1
Adv High Volt/Pow Electrc_EE	9_106_5
Adv Histopath Sem_ODS	50_63_21
Adv Human Resources Mgt_MGI	1900_3636_48
Adv IP: Special Topics_LAW	20_130_3
Adv Illus Prof Pract 1_ART	104_372_20
Adv Illus Prof Pract 2_ART	93_372_20
Adv Inorganic Chem Topics_CHE	134_451_9
Adv Intaglio Studio Pract_ART	74_738_18
Adv Iss Am Disbl Act_LAW	27_140_3
Adv Issue in Sch Bus Admin_ELP	39_190_5
Adv Knowledge Rep_CSE	63_324_10
Adv Laboratory Techniques_CHE	36_897_269
Adv Legal Writing & Analys_LAW	10_36_2
Adv Linguistic Theory 1_LIN	263_656_28
Adv Linguistic Theory 2_LIN	166_354_21
Adv Litho Studio Pract_ART	40_778_19
Adv Materials Science_MAE	223_733_17
Adv Math for Civil Engrs_CIE	731_1231_24
Adv Mech of Solids_CIE	646_1163_25
Adv Mediation Practice_LAW	28_132_7
Adv Mod Chinese 1_CHI	16_44_3
Adv Mol Bio Lab_BIO	327_672_23
Adv Molecular Genetics_BIO	655_4184_46
Adv Mthds for Tchng Lote_LAI	158_419_13
Adv Musical Thd I_THD	65_160_4
Adv Network Concepts_CSE	211_633_15
Adv Numerical Analysis 1_MTH	64_285_8
Adv Numerical Analysis 2_MTH	4_37_1
Adv Numerical Methods_CIE	1_12_1
Adv Ordinary Diff Equa_MTH	255_1080_25
Adv Org Synthesis_MCH	24_54_3
Adv Organic Chem Topics_CHE	162_1405_24
Adv Organiztnl Communctn_COM	20_51_3
Adv Pharmacotherapeutics_PHM	661_1574_15
Adv Physical Anthropology_APY	378_1873_78
Adv Physical Volcanology_GLY	77_380_14
Adv Practicum Sc. Psych._CEP	198_400_31
Adv Prints Studio Pract 2_ART	9_123_3
Adv Prob in Areal Archlgy_APY	190_655_21
Adv Probability & Stat_MGQ	28_104_3
Adv Prosth Gen Dent_RDN	169_108_6
Adv Puerto Rican Studies_PRS	12_50_2
Adv Qual Res Meth_NUR	224_232_20
Adv Qual Res Meth_NUS	29_120_4
Adv Qual Rsrch Fld Methds_LAI	236_363_16
Adv Quantitative Tech_NUR	34_104_9
Adv Quantum Mechanics_PHA	11_24_2
Adv Quantum Mechanics_PHY	40_338_6
Adv Research On Fam Viol_LAW	31_172_8
Adv Resrch Physcl Anthro_APY	65_289_11
Adv Sculp Studio Pract 1_ART	66_349_39
Adv Sculp Studio Pract 2_ART	38_349_39
Adv Semicond Mat Devices_EE	10_79_2
Adv Seminar in Phonology_LIN	16_40_3
Adv Soc & Cult Theory_APY	11_31_1
Adv Social Anthropology_APY	9_72_2
Adv Social Psychology 1_PSY	451_800_23
Adv Social Psychology 2_PSY	54_199_6
Adv Sp Top in Stats_STA	42_408_11
Adv Stand Research_SW	949_2177_56
Adv Statistical Genomics_STA	12_185_4
Adv Statistical Methods_SOC	237_353_14
Adv Statistical Technique_NUR	212_341_21
Adv Statistical Technique_NUS	32_90_3
Adv Statistical Technique_RSC	12_172_9
Adv Statistics Methods 1_PSY	905_1100_25
Adv Statistics Methods 2_PSY	572_887_20
Adv Stratigraphy_GLY	31_75_3
Adv Structural Anal_CIE	314_506_16
Adv Stud Faults & Fract_GLY	30_74_11
Adv Survival Analysis_STA	25_188_5
Adv Switch Circuit Theo 1_ECE	81_135_4
Adv Switch Circuit Theo 1_EE	187_378_10
Adv Systems Programming 2_CS	33_142_2
Adv Tech Integrtion_INF	4_22_1
Adv Theory Const & Devel_NUR	75_226_13
Adv Theory Const & Devel_NUS	15_60_2
Adv Top Cardiovas Physiol_PGY	2_80_2
Adv Top Con Law_LAW	34_118_4
Adv Top Domestic Vilnce_LAW	47_92_2
Adv Top Fam Violence_AMS	1_33_1
Adv Top Family Violence_LAW	10_52_4
Adv Top in Criminology_SOC	28_83_5
Adv Top in Internal Audit_MGA	119_367_7
Adv Top in Mgmt Acctg/Con_MGA	415_1318_21
Adv Top in Perslty Assess_CEP	136_154_15
Adv Top in Workforce Mgmt_MGI	248_612_12
Adv Topic in Cartog_GEO	37_98_6
Adv Topic in Geog Inf Sys_GEO	360_687_32
Adv Topics Biochemistry_BCH	192_337_14
Adv Topics Comp Ling_LIN	11_210_6
Adv Topics Cvd Epi & Prev_SPM	24_159_5
Adv Topics Environmental Soc_SOC	261_523_9
Adv Topics Health & Society_SOC	25_135_2
Adv Topics Health Law_LAW	22_136_5
Adv Topics Macroeconomics_ECO	21_80_4
Adv Topics Social Change_SOC	11_46_1
Adv Topics Social Justice_SOC	100_204_6
Adv Topics in Pol Inquiry_PSC	15_40_2
Adv Topics in Theory_SOC	18_36_2
Adv Video Production_DMS	129_786_38
Adv Visual Communctns 2_ART	66_275_10
Adv Wireless Netw Concept_CSE	73_278_5
