100yrs Pol His&Art&Soc'ty	AHI	10	22	Below Average Demand
14th Amendment	LAW	0	55	No Demand
16c & 17c Spanish Literat	SPA	8	25	Below Average Demand
17c Literature Studies	FR	6	22	No Demand
17c North European Art	AHI	11	45	No Demand
17th Century Literature	ENG	13	38	Below Average Demand
18 Cent European Art/Idea	AHI	22	40	Below Average Demand
18c English Literature	COL	1	24	No Demand
18c English Literature	ENG	4	25	No Demand
18c Literature & Society	FR	14	28	Below Average Demand
18c Literature Studies	FR	7	22	Below Average Demand
19c & 20c Lit Masterpc	RUS	2	21	No Demand
19c American Literature	ENG	7	27	No Demand
19c American Novel	AMS	2	45	No Demand
19c American Research	HIS	9	30	No Demand
19c American Studies	AMS	7	35	No Demand
19c Art	AHI	25	45	Below Average Demand
19c British Literature	ENG	7	28	No Demand
19c Europe	HIS	32	62	Below Average Demand
19c Major Writers: Novel	FR	8	28	No Demand
19th Cent Novel:Flaubert	FR	7	20	Below Average Demand
19th Century Drama	GER	3	22	No Demand
19th-C British Novel	ENG	18	35	Below Average Demand
19th-C British Poetry	ENG	37	42	Above Average Demand
19th-C US Fiction	ENG	32	45	Average Demand
1st Amend	LAW	9	20	Below Average Demand
1st Sem Rdng -Bgnrs/Grads	GER	5	23	No Demand
1st Yr 2nd Sem Amrcn Sign Lang	ASL	16	24	Average Demand
1st Yr-1st Sem Am Sig Lan	ASL	17	27	Average Demand
1st Yr-1st Sem Am Sig Lan	CDS	4	25	No Demand
1st Yr-1st Sem Arabic	ARI	17	23	Average Demand
1st Yr-1st Sem Chinese	CHI	19	23	Above Average Demand
1st Yr-1st Sem Danish	DAN	4	5	Above Average Demand
1st Yr-1st Sem Greek	GRE	12	19	Average Demand
1st Yr-1st Sem Hai-Creole	HAI	14	12	High Demand
1st Yr-1st Sem Hindi	HIN	16	22	Average Demand
1st Yr-1st Sem Indonesian	IND	5	5	High Demand
1st Yr-1st Sem Irish	IRI	16	28	Below Average Demand
1st Yr-1st Sem Japanese	JPN	19	23	Above Average Demand
1st Yr-1st Sem Korean	KOR	19	22	Above Average Demand
1st Yr-1st Sem Swahili	SWA	5	19	No Demand
1st Yr-1st Sem Thai	THI	4	3	High Demand
1st Yr-1st Sem Ukrainian	UKR	8	9	Above Average Demand
1st Yr-1st Sem Vietnamese	VIE	3	21	No Demand
1st Yr-1st Sem Yoruba	YOR	7	15	Below Average Demand
1st Yr-2nd Sem Am Sig Lan	ASL	16	26	Average Demand
1st Yr-2nd Sem Am Sig Lan	CDS	2	34	No Demand
1st Yr-2nd Sem Arabic	ARI	16	23	Average Demand
1st Yr-2nd Sem Chinese	CHI	16	23	Average Demand
1st Yr-2nd Sem Danish	DAN	3	9	Below Average Demand
1st Yr-2nd Sem Greek	GRE	9	17	Below Average Demand
1st Yr-2nd Sem Hindi	HIN	19	21	High Demand
1st Yr-2nd Sem Indonesian	IND	2	5	Below Average Demand
1st Yr-2nd Sem Irish	IRI	12	22	Below Average Demand
1st Yr-2nd Sem Japanese	JPN	17	24	Average Demand
1st Yr-2nd Sem Korean	KOR	16	26	Average Demand
1st Yr-2nd Sem Swahili	SWA	5	21	No Demand
1st Yr-2nd Sem Thai	THI	4	10	Below Average Demand
1st Yr-2nd Sem Ukrainian	UKR	5	16	Below Average Demand
1st Yr-2nd Sem Vietnamese	VIE	5	12	Below Average Demand
1st Yr-2nd Sem Yoruba	YOR	5	12	Below Average Demand
1st Yr/1st Sem Greek	GRE	0	22	No Demand
1st-Year/1st Sem ASL	ASL	18	27	Average Demand
20 Century American Novel	ENG	8	27	No Demand
20 Century Britain	HIS	13	25	Below Average Demand
20 Century Novel	ENG	7	24	No Demand
20 Century Philosophy	PHI	21	53	Below Average Demand
20c Am Research	AMS	1	30	No Demand
20c American Literature	ENG	7	27	No Demand
20c American Poetry	ENG	5	26	No Demand
20c American Research	HIS	10	23	Below Average Demand
20c British Literature	ENG	5	30	No Demand
20c European Readings	HIS	8	28	No Demand
20c Fiction	GER	15	22	Average Demand
20c German Civilzn & Cult	GER	9	23	Below Average Demand
20c German Readings	HIS	8	30	No Demand
20c German Research	HIS	7	30	No Demand
20c Intrnationl Relation	HIS	8	26	Below Average Demand
20c Italian Literature	HMN	1	24	No Demand
20c Italian Literature	ITA	6	32	No Demand
20c Italian Literature	WS	1	24	No Demand
20c Italian Poets	ENG	1	32	No Demand
20c Italian Poets	ITA	5	33	No Demand
20c Latina/O Literature	LLS	7	35	No Demand
20c Novel	FR	4	18	No Demand
20c Political Philosophy	PSC	20	53	Below Average Demand
20c Pragmatism	PHI	0	45	No Demand
20c Span Amer Novel	SPA	16	28	Below Average Demand
20c Spanish Literature	SPA	9	31	No Demand
20c Theatre: Avant-Garde	ENG	4	28	No Demand
20c Theatre:Avant-Garde	FR	9	28	Below Average Demand
20c:Europe & the World	HIS	23	82	No Demand
20th C Mex Lit	SPA	13	20	Average Demand
20th C Novel	FR	5	25	No Demand
20th Cen US Political History	HIS	30	40	Average Demand
20th Cent American Legal Hist	LAW	7	19	Below Average Demand
20th Cent Lit & Culture	COL	13	44	No Demand
20th Cent Spanish Theater	SPA	8	22	Below Average Demand
20th Cent US Political His	HIS	0	30	No Demand
20th Cent. Afro-Hisp. Lit	SPA	10	19	Below Average Demand
20th Centry Architctr & Urban	ARC	3	32	No Demand
20th Century Europe	HIS	25	41	Average Demand
20th Century Novel	SPA	6	26	No Demand
20th Century Poetry	SPA	10	22	Below Average Demand
20th Century Theater	SPA	11	22	Below Average Demand
20th-C Italian Theater	ITA	3	37	No Demand
20th-C Italian Theatre	HMN	5	30	No Demand
20th-C Italian Theatre	ITA	16	37	Below Average Demand
20th-C Lit in the US	ENG	30	39	Above Average Demand
2d Animation Graphics	DMS	8	21	Below Average Demand
2nd Course Linear Algebra	MTH	16	50	Below Average Demand
