220Win 111	31_4_4
Abbott 161	3_22_22
Abbott 165	119_792_66
Abbott B15	1330_3350_67
Ach_A 01	2033_4469_109
Ach_A 02	1607_3731_91
Ach_A 03	1334_3015_67
Ach_A 04	1303_3195_71
Ach_A 05	1255_2788_68
Ach_A 07	1065_2520_56
Ach_A 08	848_1080_54
Ach_A 17	644_1560_52
Ach_A 18	856_220_55
Alfier 102	22274_52752_628
Alfier 103	12390_23822_554
Alfier 104	23073_48720_609
Alfier 205	968_1610_46
Allen 100	46_300_6
Allen 101	12_24_6
Allen 106	106_24_8
Allen 205	50_15_5
Alumni 01	1843_7744_88
Alumni 121	720_1830_61
Alumni 144	851_236_59
Alumni 145	1803_472_118
Alumni 152	229_22_22
Alumni 153	6_8_8
Alumni 154	170_15_15
Alumni 155	26_6_6
Alumni 173	149_224_8
Alumni 175	10376_14196_338
Alumni 186	139_86_43
Alumni 187	36_102_102
Alumni 188	2391_11325_453
Alumni 189	53_135_135
Alumni 190	4195_10242_569
Alumni 191	44_21_21
Alumni 192	65_68_68
Alumni 193	17_36_36
Alumni 194	59_24_24
Alumni 195	4887_7215_481
Alumni 195C	11_99_33
Alumni 196	77_67_67
Alumni 197	35_30_30
Alumni 198	460_76_76
Alumni 21	883_234_78
Alumni 214D	1_1_1
Alumni 272	16_106_53
Alumni 273	10_40_40
Alumni 274	11_62_62
Alumni 275	23_120_120
Alumni 276	56_101_101
Alumni 277	19_74_74
Alumni 278	57_74_74
Alumni 282	7_75_75
Alumni 283	41_294_98
Alumni 285	7_10_10
Alumni 55	17_1_1
Alumni 66	1306_1000_50
Alumni 70	2103_1065_71
Alumni 75	18949_16300_815
Alumni 76	5214_17710_230
Alumni 86	4579_27180_302
Alumni 87	63_24_8
Alumni 88	15831_30628_806
Alumni 90	14815_29415_795
Alumni 97	36964_80900_809
Anders 206	798_3090_103
Baird 111	908_2048_128
Baird 201	47_165_11
Baird 204	190_98_98
Baird 206	104_106_106
Baird 210	22_39_39
Baird 211	12288_29750_595
Baird 214	332_209_209
Baird 216	238_81_81
Baird 220	2_6_2
Baird 222	85_53_53
Baird 226	1_3_1
Baird 227	3037_8762_337
Baird 228	33_32_32
Baird 230	97_90_45
Baird 232	7_4_4
Baird 234	128_70_70
Baird 236	94_20_20
Baird 237	330_140_35
Baird 240	333_344_172
Baird 250	20965_74290_323
Baird 301	37_13_13
Baird 302	88_34_34
Baird 304	265_219_73
Baird 306	23_46_46
Baird 307	65_36_18
Baird 308	108_121_121
Baird 309	60_17_17
Baird 310	203_95_95
Baird 311	14_32_16
Baird 312	461_137_137
Baird 313	27_12_6
Baird 314	73_264_88
Baird 315	55_22_22
Baird 316	164_84_84
Baird 318	2343_6100_244
Baird 327	5056_8460_470
Baird 352	674_2670_89
Baird 402	507_723_241
Baird 406	201_261_87
Baird 410	103_147_49
Baird 411	37_43_43
Baird 413	127_232_116
Baird 414	540_507_169
Baird 417	86_54_27
Baird 418	402_1140_95
Baird 420	135_93_93
Baird 422	97_117_117
Baird 430	267_227_227
Baird 432	109_81_81
Baird 434	48_37_37
Baird 436	155_88_88
Baird 438	5_6_6
Baird 441	10_8_8
Baird 442	45_61_61
Baird 444	78_176_88
Baird 446	92_86_86
Baird 448	68_52_52
Baird 450	82_73_73
Baird B18	184_234_78
Baird B20	124_496_62
Baird B33	1040_2225_89
Baldy 02	132_385_55
Baldy 03	26_105_7
Baldy 05	274_1125_75
Baldy 08F	211_560_35
Baldy 101	40175_96700_967
Baldy 104	0_5_1
Baldy 105	16749_22594_1027
Baldy 106	15013_20340_1017
Baldy 107	15507_22272_928
Baldy 108	31415_56760_1290
Baldy 109	15271_20370_970
Baldy 11	42_45_3
Baldy 110	30213_56396_1226
Baldy 111	15599_20447_889
Baldy 112	9337_15340_767
Baldy 113	14564_18546_843
Baldy 114	13447_17703_843
Baldy 115	14193_19380_969
Baldy 117	23435_29088_1212
Baldy 118	12683_16380_780
Baldy 119	13466_16821_801
Baldy 12	4763_334_334
